experiment,encoder,classifier,fold,accuracy,macro_f1,ordinal_mae,recall_tight,recall_regular,recall_oversized
experiment_3,clip_vit_b32,knn_baseline,1,0.8051948051948052,0.7993480154286425,0.19480519480519481,0.9615384615384616,0.6153846153846154,0.84
experiment_3,clip_vit_b32,knn_baseline,2,0.7402597402597403,0.7330478551573886,0.2727272727272727,0.8461538461538461,0.5,0.88
experiment_3,clip_vit_b32,knn_baseline,3,0.8157894736842105,0.8049999470007738,0.19736842105263158,1.0,0.56,0.8846153846153846
experiment_3,clip_vit_b32,knn_baseline,4,0.7763157894736842,0.7764814814814814,0.2894736842105263,0.84,0.76,0.7307692307692307
experiment_3,clip_vit_b32,knn_baseline,5,0.8157894736842105,0.8147823231856846,0.19736842105263158,0.84,0.72,0.8846153846153846
experiment_3,clip_vit_b32,logistic_regression,1,0.9090909090909091,0.9092888064316637,0.1038961038961039,0.9615384615384616,0.8461538461538461,0.92
experiment_3,clip_vit_b32,logistic_regression,2,0.8181818181818182,0.8118634181361332,0.18181818181818182,0.9615384615384616,0.6153846153846154,0.88
experiment_3,clip_vit_b32,logistic_regression,3,0.7894736842105263,0.7664635727249157,0.21052631578947367,0.96,0.44,0.9615384615384616
experiment_3,clip_vit_b32,logistic_regression,4,0.881578947368421,0.8797530864197531,0.13157894736842105,0.88,0.8,0.9615384615384616
experiment_3,clip_vit_b32,logistic_regression,5,0.9210526315789473,0.9198575656677765,0.07894736842105263,1.0,0.84,0.9230769230769231
experiment_3,clip_vit_b32,linear_svm,1,0.922077922077922,0.9229469565604019,0.07792207792207792,0.9230769230769231,0.9230769230769231,0.92
experiment_3,clip_vit_b32,linear_svm,2,0.8701298701298701,0.8710826210826211,0.12987012987012986,0.9230769230769231,0.8076923076923077,0.88
experiment_3,clip_vit_b32,linear_svm,3,0.868421052631579,0.8624928530588908,0.13157894736842105,0.96,0.68,0.9615384615384616
experiment_3,clip_vit_b32,linear_svm,4,0.9210526315789473,0.9209401709401709,0.07894736842105263,0.88,0.92,0.9615384615384616
experiment_3,clip_vit_b32,linear_svm,5,0.9342105263157895,0.9328505697433839,0.06578947368421052,1.0,0.84,0.9615384615384616
experiment_3,clip_vit_b32,rbf_svm,1,0.935064935064935,0.9359554730983303,0.06493506493506493,0.9230769230769231,0.9615384615384616,0.92
experiment_3,clip_vit_b32,rbf_svm,2,0.8961038961038961,0.8968632445721395,0.1038961038961039,0.9230769230769231,0.8461538461538461,0.92
